symbol,hv20,hv50,hv100,date,cur_iv,days_percentile,close
AEP,14,18,18,230825,19.81,600/ 56%ile,79.33
AER,21,22,23,230825,30.03,600/  3%ile,60.59
AES,34,32,30,230825,33.40,600/ 79%ile,18.06
AESI,46,41,38,230825,44.49,100/ 76%ile,21.03
AEVA,102,109,123,230303,105.33,412/ 98%ile,1.00
AEYE,90,83,76,230825,123.75,431/ 93%ile,4.73
AFCG,29,35,35,230821,30.31,263/ 33%ile,12.96
AFG,33,24,22,230825,36.12,592/ 83%ile,114.69
AFIB,100,117,130,230208,185.00,161/ 96%ile,0.51
AFK,19,20,19,230131,28.66,64/ 87%ile,14.67
AFL,25,19,20,230825,18.74,600/ 14%ile,74.25
AFMD,216,158,141,221209,126.23,388/ 86%ile,0.55
AFRM,118,93,92,230825,78.23,600/ 18%ile,17.79
AFTY,20,22,20,230825,25.58,501/ 71%ile,14.82
AFYA,21,33,41,230727,54.42,284/ 42%ile,14.54
AG,45,46,41,230825,49.22,600/  1%ile,5.93
AGCO,23,24,31,230825,28.55,598/  4%ile,119.11
AGEN,105,91,97,230825,106.73,595/ 64%ile,1.31
AGG,7,7,7,230825,9.37,591/ 56%ile,95.87
AGGY,6,6,6,230612,5.44,10/ 10%ile,42.25
AGI,31,36,32,230825,37.62,599/  1%ile,12.09
AGIO,30,35,36,230825,50.37,576/ 24%ile,26.97
AGL,42,42,45,230825,40.59,576/  0%ile,17.22
AGM,25,21,27,230825,35.97,552/ 82%ile,166.93
AGNC,18,22,23,230825,16.76,292/ 19%ile,9.76
AGNG,10,10,11,230130,17.58,1/100%ile,26.99
AGO,20,19,20,230825,27.99,599/ 15%ile,57.80
AGQ,48,52,50,230825,46.65,600/  0%ile,29.87
AGR,20,22,21,230825,21.80,415/ 24%ile,34.92
AGRI,0.0,273,240,230317,220.00,222/100%ile,0.11
AGRO,56,47,44,230825,38.97,593/  8%ile,11.32
AGS,70,62,69,230825,69.49,571/ 25%ile,6.44
AGTI,133,88,70,230825,59.44,139/ 80%ile,9.48
AGX,16,22,35,230825,40.93,330/ 90%ile,41.26
AGYS,29,32,38,230825,45.77,448/  8%ile,68.80
AGZ,3.7,3.6,4.1,230817,17.32,155/ 38%ile,106.34
AHCO,72,69,60,230825,52.91,577/ 22%ile,11.61
AHH,21,24,26,230810,40.31,259/ 96%ile,11.29
AHT,61,60,79,230825,69.06,600/  4%ile,2.72
AI,81,80,119,230825,109.22,600/ 90%ile,29.15
AIA,20,23,21,230824,24.58,188/ 43%ile,57.22
AIEQ,13,15,21,230825,18.88,168/  7%ile,30.58
AIG,15,17,24,230825,22.33,600/  1%ile,57.85
AIN,24,20,24,230817,32.89,48/ 20%ile,93.71
AIP,47,59,73,230825,69.38,266/ 10%ile,6.30
AIQ,18,19,19,230825,24.26,184/ 25%ile,27.52
AIR,20,21,26,230825,33.85,572/  5%ile,60.47
AIRC,17,21,21,230825,28.03,413/ 55%ile,33.49
AIRG,46,42,47,230821,61.57,500/ 38%ile,4.25
AIRR,15,16,22,230824,65.41,95/ 94%ile,53.42
AIRS,50,54,77,230825,77.50,191/  4%ile,7.93
AIT,33,25,29,230825,32.96,561/ 32%ile,153.98
AIV,20,22,28,230825,47.01,589/ 65%ile,7.78
AIVI,10,13,0.0,230818,25.90,44/ 22%ile,38.09
AIVL,8,10,11,230823,21.40,477/ 59%ile,92.92
AIZ,25,25,27,230825,28.94,599/ 63%ile,138.73
AJG,17,17,16,230825,19.92,600/ 18%ile,227.60
AJRD,12,10,7,230727,53.07,570/ 83%ile,57.99
AJX,22,39,38,230726,24.69,179/ 11%ile,6.48
AKA,189,238,202,221205,121.88,166/ 91%ile,0.44
AKAM,34,25,26,230825,23.83,600/ 12%ile,102.82
AKBA,126,137,144,230825,130.03,342/ 66%ile,1.15
AKLI,55,89,119,230807,130.00,142/ 30%ile,0.95
AKR,22,23,27,230823,35.61,293/ 64%ile,14.38
AKRO,36,41,46,230825,68.39,481/ 46%ile,47.97
AKTS,80,71,74,230824,87.50,590/ 74%ile,1.77
AKYA,40,65,75,230811,98.35,165/ 61%ile,5.21
AL,18,23,25,230825,27.32,599/  2%ile,40.00
ALB,23,30,42,230825,37.13,600/  5%ile,189.74
ALC,16,14,22,230825,22.43,588/ 13%ile,83.99
ALDX,41,86,70,230825,88.55,598/ 37%ile,7.59
ALE,22,19,21,230825,25.85,422/ 90%ile,55.77
ALEC,132,96,77,230825,56.60,537/  5%ile,5.90
ALEX,17,21,22,230825,36.96,356/ 87%ile,17.91
ALG,28,24,29,230825,32.02,584/ 22%ile,170.24
ALGM,54,53,47,230825,42.40,584/ 17%ile,37.54
ALGN,26,43,42,230825,38.00,593/ 28%ile,356.35
ALGS,69,85,97,230217,133.13,101/ 74%ile,0.86
ALGT,41,40,46,230825,43.46,600/ 27%ile,88.16
ALHC,73,59,69,230824,67.72,520/ 32%ile,5.89
ALIT,48,37,36,230825,38.93,594/  7%ile,7.63
ALK,17,34,31,230825,31.55,600/  7%ile,41.82
ALKS,29,29,29,230825,46.29,600/ 68%ile,27.17
ALKT,41,34,38,230825,52.46,267/  8%ile,17.04
ALL,35,31,26,230825,24.20,600/ 49%ile,105.14
ALLE,24,28,28,230825,27.96,594/ 32%ile,109.84
ALLG,94,75,90,230824,95.83,215/ 73%ile,1.77
ALLK,92,73,78,230824,93.69,546/ 49%ile,2.92
ALLO,68,67,70,230825,126.07,592/ 99%ile,3.87
ALLT,73,57,55,230825,106.67,558/ 96%ile,2.16
ALLY,30,33,33,230825,39.20,600/ 55%ile,25.92
ALNT,75,52,45,230821,46.38,68/ 79%ile,33.14
ALNY,24,29,31,230825,49.14,595/ 43%ile,189.26
ALPN,44,48,55,230810,78.13,115/ 52%ile,13.15
ALPP,138,144,361,230807,131.25,103/ 37%ile,1.12
ALRM,83,55,44,230825,35.91,599/ 11%ile,57.99
ALRS,24,32,37,230714,29.74,132/ 10%ile,18.65
ALSN,14,15,24,230825,27.04,599/ 19%ile,58.68
ALT,53,60,63,230825,147.25,598/ 85%ile,2.40
ALTG,52,42,45,230825,44.40,548/ 74%ile,14.00
ALTL,18,18,18,230821,19.17,53/ 13%ile,35.88
ALTO,77,75,87,230825,73.80,580/ 56%ile,3.55
ALTR,44,33,29,230825,35.05,495/  6%ile,64.18
ALTU,4.4,8,7,221025,18.41,188/ 16%ile,10.13
ALV,22,32,31,230825,30.27,600/ 30%ile,93.97
ALVR,128,139,119,230825,113.61,397/ 76%ile,3.00
